,ID,Date,Hour,Data,Primary Key,ISO NEW ENGLAND_SH,MISO_SH,PJM INTERCONNECTION _SH,NEW YORK INDEPENDENT SYSTEM OPERATOR_SH,DUKE ENERGY CAROLINAS_SH,FLORIDA POWER LIGHT COMPANY_SH,ISO NEW ENGLAND_WH,PJM INTERCONNECTION _WH,NEW YORK INDEPENDENT SYSTEM OPERATOR_WH,EASTERN_WH,CENTRAL_WH,EASTERN_HDV,CENTRAL_HDV,EASTERN_LDVU,CENTRAL_LDVU,EASTERN_LDVM_CHARGING,EASTERN_LDVM,EASTERN_LDVM_DISCHARGING,CENTRAL_LDVM_DISCHARGING,ERCOT_AEN_SH,ERCOT_CPS_SH,ERCOT_Houston_SH,ERCOT_LCRA_SH,ERCOT_North_SH,ERCOT_RAYBURN_SH,ERCOT_South_SH,ERCOT_West_SH,CA_SH,OR_SH,WA_SH,NV_SH,ID_SH,MT_SH,WY_SH,UT_SH,CO_SH,AZ_SH,NM_SH,WECC_EV_Flat,WECC_EV_LDVUse,WECC_EV_LDVChar,WECC_WH
30,ElecLoadShapes,39815,7,,,0.551053183,0.33799957,0.255353039,0.674416673,0.251795941,0.281686073,0.803115496,0.798966556,0.803571636,0.677643378,0.935064325,1,0.477628572,1,0.280876808,0.133106466,1,-0.724173519,-0.86644781,0.507392132,0.507392132,0.329607776,0.507392132,0.432118747,0.413358994,0.507392132,0.646887092,0.532944692,0.286421975,0.347121622,0.459549461,0.24639573,0.28482449,0.276404751,0.394620015,0.272518858,0.632618769,0.424975846,1,-0.86644781,0.285632642,0.935064325
31,ElecLoadShapes,39815,8,,,0.563614317,0.257022236,0.202417438,0.690930132,0.198716495,0.228198224,0.92489112,0.921939988,0.925162215,0.623682457,0.677643378,1,0.47964487,1,0.370396588,0.256963993,1,-0.483880258,-0.724173519,0.489711882,0.489711882,0.3075376,0.489711882,0.426067068,0.411508225,0.489711882,0.643698186,0.540118572,0.314870164,0.361765665,0.473926056,0.240059765,0.286164159,0.273674318,0.398438256,0.264085227,0.643345595,0.41687372,1,-0.724173519,0.264734588,0.677643378
32,ElecLoadShapes,39815,9,,,0.560177368,0.203472033,0.170536062,0.688726394,0.166910913,0.195257814,0.884357212,0.875908949,0.885401615,0.560061757,0.623682457,1,0.490232693,1,0.37546176,0.199026377,1,-0.403296842,-0.483880258,0.473865234,0.473865234,0.287415262,0.473865234,0.419873964,0.408431667,0.473865234,0.638712837,0.54753564,0.344031272,0.376765193,0.484442462,0.235268052,0.288066312,0.270854812,0.400051453,0.257413278,0.65453231,0.410515204,1,-0.483880258,0.235987339,0.623682457
33,ElecLoadShapes,39815,10,,,0.555532711,0.17123275,0.141309143,0.686244274,0.137880862,0.16444882,0.740766933,0.72308873,0.743128862,0.571250781,0.560061757,1,0.493855727,1,0.323715083,0.227075632,1,-0.422378211,-0.403296842,0.412398264,0.412398264,0.24728784,0.412398264,0.406109187,0.383320933,0.412398264,0.604989934,0.461138309,0.342624889,0.370268976,0.433308031,0.231058851,0.288443972,0.247682269,0.372493052,0.21872955,0.501104277,0.347173699,1,-0.403296842,0.233372517,0.560061757
34,ElecLoadShapes,39815,11,,,0.550748828,0.141704127,0.114633967,0.684017216,0.111506333,0.1357004,0.752139923,0.735134963,0.75440547,0.536301223,0.571250781,1,0.497981067,1,0.333116938,0.237814235,1,-0.47032743,-0.422378211,0.355852438,0.355852438,0.208602235,0.355852438,0.392819343,0.352654371,0.355852438,0.57245816,0.381786477,0.341492759,0.366803493,0.378555578,0.228015526,0.290246827,0.223956875,0.345415356,0.183191708,0.364466908,0.286113765,1,-0.422378211,0.252891939,0.571250781
35,ElecLoadShapes,39815,12,,,0.56429426,0.114789658,0.102213696,0.677656692,0.099269655,0.12206994,0.744623625,0.725083468,0.747246702,0.500700048,0.536301223,1,0.49734511,1,0.381077766,0.273392997,1,-0.461573189,-0.47032743,0.301155067,0.301155067,0.173992178,0.301155067,0.382832768,0.329198137,0.301155067,0.542492276,0.3091817,0.339423184,0.363235758,0.33362103,0.224280319,0.291691967,0.202561303,0.31807538,0.150508719,0.24438068,0.230698562,1,-0.47032743,0.31339728,0.536301223
36,ElecLoadShapes,39815,13,,,0.57988114,0.102273841,0.090381265,0.670039804,0.087640061,0.10891727,0.692044317,0.669354611,0.695113212,0.404701034,0.500700048,1,0.494999223,1,0.491006046,0.344322967,1,-0.590098146,-0.461573189,0.27136719,0.27136719,0.148610193,0.27136719,0.360389297,0.331615759,0.27136719,0.532834358,0.261873436,0.333570801,0.353372283,0.275488352,0.223993379,0.294800678,0.18927186,0.311972598,0.133296297,0.168663739,0.199044982,1,-0.461573189,0.350843032,0.500700048
37,ElecLoadShapes,39815,14,,,0.59454524,0.090361879,0.090381265,0.664422605,0.087640061,0.10891727,0.564638232,0.537457912,0.568358868,0.379023807,0.404701034,1,0.502319143,1,0.632508668,0.295742492,1,-0.691723171,-0.590098146,0.243074077,0.243074077,0.12952411,0.243074077,0.340262425,0.338297716,0.243074077,0.523098444,0.21792301,0.328941914,0.344678659,0.218385847,0.223893261,0.296979226,0.175327966,0.303085077,0.116854893,0.1002577,0.170397593,1,-0.590098146,0.387736151,0.404701034
38,ElecLoadShapes,39815,15,,,0.620888167,0.090361879,0.102213696,0.671011956,0.099269655,0.12206994,0.541262352,0.514695272,0.544895311,0.413794318,0.379023807,1,0.519674549,1,0.782977944,0.308674435,1,-0.821525173,-0.691723171,0.215163416,0.215163416,0.104533754,0.215163416,0.321381369,0.341682042,0.215163416,0.510851845,0.17651461,0.323121621,0.335709402,0.1691651,0.223537718,0.299261282,0.162828301,0.296654376,0.101627257,0.040137057,0.146071506,1,-0.691723171,0.365258452,0.379023807
39,ElecLoadShapes,39815,16,,,0.649282256,0.102273841,0.114633967,0.681777041,0.111506333,0.1357004,0.511502448,0.484346264,0.515225939,0.492848358,0.413794318,1,0.576213956,1,0.995495498,0.349475257,1,-1,-0.821525173,0.21753479,0.21753479,0.094820492,0.21753479,0.315749601,0.326496673,0.21753479,0.513010206,0.188787276,0.332764803,0.350782269,0.167252202,0.239115114,0.317097814,0.178179921,0.299839537,0.121446785,0.056458948,0.169376091,1,-0.821525173,0.236003732,0.413794318
40,ElecLoadShapes,39815,17,,,0.680009195,0.114789658,0.114633967,0.689302106,0.111506333,0.1357004,0.588539674,0.567007611,0.591462163,0.528663804,0.492848358,1,0.6077167,1,1,0.584772928,1,-0.714574945,-1,0.218639341,0.218639341,0.087368672,0.218639341,0.311432984,0.316731327,0.218639341,0.514951915,0.20009695,0.341346677,0.362490523,0.165246196,0.256750322,0.329426842,0.194717571,0.303383777,0.142951704,0.074014301,0.195428805,1,-1,0.288282438,0.492848358
41,ElecLoadShapes,39815,18,,,0.693897837,0.114789658,0.102213696,0.709446194,0.099269655,0.12206994,0.660870036,0.645021645,0.662987856,0.563319841,0.528663804,1,0.599537196,1,0.921887019,0.765690569,1,-0.461361638,-0.714574945,0.220384237,0.220384237,0.077575189,0.220384237,0.306081066,0.303176872,0.220384237,0.516548176,0.213024687,0.349673617,0.376822043,0.163570633,0.275388859,0.348548908,0.211742414,0.306589426,0.165958442,0.091592489,0.22207706,1,-0.714574945,0.327512159,0.528663804
42,ElecLoadShapes,39815,19,,,0.710923929,0.102273841,0.102213696,0.724914627,0.099269655,0.12206994,0.706226741,0.6955656,0.707610064,0.569803722,0.563319841,1,0.574628981,1,0.71752606,0.929138119,1,-0.249400987,-0.461361638,0.226934444,0.226934444,0.094923852,0.226934444,0.32084169,0.321931562,0.226934444,0.537839163,0.286783616,0.372168853,0.413228096,0.205509923,0.311100687,0.382046992,0.214053329,0.310721218,0.174143476,0.141317926,0.239546226,1,-0.461361638,0.345658915,0.563319841
43,ElecLoadShapes,39815,20,,,0.726667843,0.102273841,0.090381265,0.745736452,0.087640061,0.10891727,0.695916467,0.687901423,0.69693002,0.50636794,0.569803722,1,0.555481112,1,0.522156653,0.661801961,1,-0.22676101,-0.249400987,0.232328748,0.232328748,0.112221328,0.232328748,0.336142704,0.33778362,0.232328748,0.557076244,0.368645975,0.394687371,0.448993279,0.250365797,0.346133388,0.414904586,0.215445396,0.316040739,0.182817749,0.194777229,0.257486801,1,-0.249400987,0.504438961,0.569803722
44,ElecLoadShapes,39815,21,,,0.742032932,0.090361879,0.079117695,0.758520173,0.076596513,0.096227499,0.637668054,0.631518264,0.638431889,0.438770029,0.50636794,1,0.531663157,1,0.346802989,0.611794257,1,-0.16196955,-0.22676101,0.239389075,0.239389075,0.130490343,0.239389075,0.350207564,0.358227101,0.239389075,0.575884101,0.458457599,0.417218844,0.481176632,0.298362079,0.38444935,0.452468679,0.218829281,0.320814947,0.191542639,0.252179407,0.276465883,1,-0.22676101,0.99594806,0.50636794
45,ElecLoadShapes,39815,22,,,0.759275958,0.079034569,0.068403313,0.771767377,0.066117438,0.083984811,0.599599646,0.598240811,0.599697844,0.349836068,0.438770029,1,0.506529284,1,0.186202796,0.545249077,1,-0.063165482,-0.16196955,0.238840319,0.238840319,0.125611047,0.238840319,0.386339071,0.419466077,0.238840319,0.579739786,0.489197396,0.421714714,0.487617391,0.335011358,0.403539415,0.472186197,0.229845149,0.324448998,0.202562105,0.283527428,0.291391342,1,-0.16196955,0.987718312,0.438770029
